"student","pianist","piece","arousal","valence"
"student_000","GG","01",30,-1
"student_000","GG","02",30,1
"student_000","GG","03",70,-2
"student_000","GG","04",30,0
"student_000","GG","05",90,2
"student_000","GG","08",50,-4
"student_000","GG","09",100,-2
"student_000","GG","11",80,1
"student_000","GG","12",60,2
"student_000","GG","14",40,0
"student_000","GG","15",20,0
"student_000","GG","16",70,-4
"student_000","GG","18",90,2
"student_000","GG","19",40,3
"student_000","GG","20",80,1
"student_000","GG","21",90,0
"student_000","GG","22",40,2
"student_000","GG","24",30,-3
"student_000","GG","25",40,1
"student_000","GG","26",70,-1
"student_000","GG","27",60,1
"student_000","GG","28",20,-2
"student_000","GG","29",90,3
"student_000","GG","30",10,0
"student_000","GG","31",60,-2
"student_000","GG","32",50,-2
"student_000","GG","34",60,1
"student_000","GG","35",40,0
"student_000","GG","36",50,-2
"student_000","GG","37",80,3
"student_000","GG","38",20,1
"student_000","GG","39",70,3
"student_000","GG","41",90,3
"student_000","GG","45",30,0
"student_000","GG","46",20,0
"student_000","GG","47",20,0
"student_001","GG","01",60,4
"student_001","GG","02",50,-2
"student_001","GG","03",80,-1
"student_001","GG","04",70,4
"student_001","GG","05",90,3
"student_001","GG","08",40,-4
"student_001","GG","09",100,3
"student_001","GG","11",90,4
"student_001","GG","12",60,-1
"student_001","GG","14",90,4
"student_001","GG","15",50,-4
"student_001","GG","16",20,-1
"student_001","GG","18",90,-3
"student_001","GG","19",50,-4
"student_001","GG","20",100,0
"student_001","GG","21",100,1
"student_001","GG","22",60,-2
"student_001","GG","24",20,1
"student_001","GG","25",50,5
"student_001","GG","26",60,4
"student_001","GG","27",80,-3
"student_001","GG","28",10,-1
"student_001","GG","29",90,-1
"student_001","GG","30",90,5
"student_001","GG","31",70,-2
"student_001","GG","32",50,-5
"student_001","GG","34",50,3
"student_001","GG","35",70,-3
"student_001","GG","36",40,-3
"student_001","GG","37",100,1
"student_001","GG","38",60,-4
"student_001","GG","39",80,4
"student_001","GG","41",100,-1
"student_001","GG","45",40,5
"student_001","GG","46",70,-2
"student_001","GG","47",40,-3
"student_002","GG","01",50,-1
"student_002","GG","02",50,2
"student_002","GG","03",100,-2
"student_002","GG","04",50,0
"student_002","GG","05",100,5
"student_002","GG","08",60,-5
"student_002","GG","09",100,5
"student_002","GG","11",80,1
"student_002","GG","12",50,-1
"student_002","GG","14",80,3
"student_002","GG","15",30,-4
"student_002","GG","16",40,-2
"student_002","GG","18",70,2
"student_002","GG","19",60,1
"student_002","GG","20",80,-2
"student_002","GG","21",70,2
"student_002","GG","22",50,2
"student_002","GG","24",70,-2
"student_002","GG","25",60,1
"student_002","GG","26",50,1
"student_002","GG","27",80,2
"student_002","GG","28",50,-3
"student_002","GG","29",90,1
"student_002","GG","30",60,3
"student_002","GG","31",40,-3
"student_002","GG","32",40,-4
"student_002","GG","34",30,2
"student_002","GG","35",40,-1
"student_002","GG","36",70,-1
"student_002","GG","37",60,2
"student_002","GG","38",70,3
"student_002","GG","39",60,-1
"student_002","GG","41",100,4
"student_002","GG","45",40,1
"student_002","GG","46",50,0
"student_002","GG","47",40,3
"student_003","GG","01",50,5
"student_003","GG","02",10,3
"student_003","GG","03",90,-5
"student_003","GG","04",30,0
"student_003","GG","05",100,5
"student_003","GG","08",10,-1
"student_003","GG","09",100,3
"student_003","GG","11",100,5
"student_003","GG","12",60,-3
"student_003","GG","14",80,3
"student_003","GG","15",10,-2
"student_003","GG","16",20,2
"student_003","GG","18",80,3
"student_003","GG","19",70,-4
"student_003","GG","20",100,-3
"student_003","GG","21",90,-2
"student_003","GG","22",40,0
"student_003","GG","24",30,-3
"student_003","GG","25",20,5
"student_003","GG","26",90,2
"student_003","GG","27",80,4
"student_003","GG","28",10,-5
"student_003","GG","29",100,4
"student_003","GG","30",70,4
"student_003","GG","31",10,-5
"student_003","GG","32",30,-3
"student_003","GG","34",50,2
"student_003","GG","35",30,2
"student_003","GG","36",40,3
"student_003","GG","37",80,4
"student_003","GG","38",60,3
"student_003","GG","39",60,-2
"student_003","GG","41",100,4
"student_003","GG","45",40,-3
"student_003","GG","46",70,1
"student_003","GG","47",100,-5
"student_004","GG","01",20,0
"student_004","GG","02",30,2
"student_004","GG","03",90,-2
"student_004","GG","04",40,2
"student_004","GG","05",90,2
"student_004","GG","08",40,1
"student_004","GG","09",90,-2
"student_004","GG","11",80,-1
"student_004","GG","12",70,3
"student_004","GG","14",40,0
"student_004","GG","15",0,-4
"student_004","GG","16",10,1
"student_004","GG","18",70,-1
"student_004","GG","19",60,-2
"student_004","GG","20",90,-2
"student_004","GG","21",100,3
"student_004","GG","22",70,2
"student_004","GG","24",20,1
"student_004","GG","25",40,2
"student_004","GG","26",40,1
"student_004","GG","27",80,1
"student_004","GG","28",0,-5
"student_004","GG","29",80,-2
"student_004","GG","30",60,1
"student_004","GG","31",30,1
"student_004","GG","32",10,1
"student_004","GG","34",30,4
"student_004","GG","35",20,-3
"student_004","GG","36",40,1
"student_004","GG","37",50,2
"student_004","GG","38",70,-1
"student_004","GG","39",90,3
"student_004","GG","41",90,-2
"student_004","GG","45",80,4
"student_004","GG","46",40,-2
"student_004","GG","47",10,5
"student_005","GG","01",20,4
"student_005","GG","02",30,3
"student_005","GG","03",100,-4
"student_005","GG","04",20,1
"student_005","GG","05",100,5
"student_005","GG","08",70,-3
"student_005","GG","09",100,5
"student_005","GG","11",80,-4
"student_005","GG","12",20,-1
"student_005","GG","14",80,0
"student_005","GG","15",50,-4
"student_005","GG","16",80,-5
"student_005","GG","18",80,-2
"student_005","GG","19",90,-4
"student_005","GG","20",90,-3
"student_005","GG","21",100,0
"student_005","GG","22",50,1
"student_005","GG","24",70,-5
"student_005","GG","25",40,-3
"student_005","GG","26",50,-4
"student_005","GG","27",40,-1
"student_005","GG","28",30,-4
"student_005","GG","29",90,2
"student_005","GG","30",60,-2
"student_005","GG","31",50,2
"student_005","GG","32",70,-4
"student_005","GG","34",30,-1
"student_005","GG","35",70,-4
"student_005","GG","36",50,0
"student_005","GG","37",80,4
"student_005","GG","38",60,2
"student_005","GG","39",70,0
"student_005","GG","41",90,-1
"student_005","GG","45",40,-3
"student_005","GG","46",60,-2
"student_005","GG","47",20,-2
"student_006","GG","01",50,1
"student_006","GG","02",40,-1
"student_006","GG","03",100,-5
"student_006","GG","04",60,-1
"student_006","GG","05",100,5
"student_006","GG","08",40,-3
"student_006","GG","09",80,4
"student_006","GG","11",80,-4
"student_006","GG","12",40,-1
"student_006","GG","14",60,3
"student_006","GG","15",20,-3
"student_006","GG","16",70,-2
"student_006","GG","18",90,2
"student_006","GG","19",50,-2
